concurso,bola1,bola2,bola3,bola4,bola5,bola6,bola7,bola8,bola9,bola10,bola11,bola12,bola13,bola14,bola15,bola16
0,2,3,5,6,9,10,11,12,13,14,16,18,20,23,24,25
1,1,2,3,4,8,12,13,14,16,17,18,19,20,21,23,25
2,1,2,3,5,7,8,9,10,14,16,17,18,21,22,23,25
3,1,2,4,5,7,10,11,12,13,14,18,20,21,22,24,25
4,1,3,4,6,8,10,11,12,13,14,16,18,20,21,23,24
5,2,3,4,5,6,7,9,13,14,15,16,17,18,19,22,23
6,1,2,5,6,7,8,9,10,13,14,15,18,20,21,22,25
7,2,5,6,7,10,11,12,13,16,17,19,20,21,23,24,25
8,1,3,4,5,6,7,8,9,11,15,16,18,19,22,23,24
9,1,3,4,5,6,8,9,10,11,12,13,15,19,21,22,25
10,2,3,4,5,10,12,13,14,16,17,18,20,21,22,23,24
11,4,5,6,8,9,10,11,12,14,15,17,18,19,21,22,23
12,1,3,4,6,8,9,10,13,15,17,18,19,21,23,24,25
13,1,2,3,4,5,7,8,9,11,13,14,16,22,23,24,25
14,3,4,5,7,10,11,12,13,14,16,18,20,21,23,24,25
15,1,3,4,6,7,8,11,13,15,16,17,18,21,22,24,25
16,1,4,6,7,8,9,11,12,13,14,16,17,19,21,22,24
17,1,3,4,7,9,10,14,15,16,17,19,20,22,23,24,25
18,4,5,8,11,13,14,15,16,17,19,20,21,22,23,24,25
19,1,2,3,5,8,9,11,12,13,15,19,20,21,22,23,24
20,3,5,7,8,9,10,12,13,14,16,18,19,21,23,24,25
21,1,3,4,5,6,8,11,13,14,16,18,20,21,22,24,25
22,1,2,3,5,6,7,9,10,14,15,19,20,21,22,23,24
23,1,2,3,4,7,10,11,13,15,17,18,19,20,23,24,25
24,1,3,5,9,11,12,13,14,15,17,18,19,20,23,24,25
25,3,4,5,6,7,8,9,11,14,16,19,20,21,22,23,25
26,2,4,5,6,8,10,11,13,18,19,20,21,22,23,24,25
27,2,3,4,5,7,8,10,11,12,13,15,16,19,20,23,25
28,1,4,7,9,10,11,12,14,15,16,17,18,20,21,22,25
29,1,2,3,4,7,8,9,10,14,16,17,18,22,23,24,25
30,1,2,3,4,8,9,10,12,14,15,17,20,21,22,23,24
31,1,2,3,5,9,10,11,13,14,15,16,19,20,21,24,25
32,3,4,5,7,8,10,13,14,15,16,17,19,20,21,24,25
33,1,2,3,5,6,7,8,11,12,13,15,16,19,22,23,25
34,1,3,4,6,8,9,10,11,14,15,16,18,20,21,22,23
35,1,2,3,4,5,6,8,9,11,13,14,15,16,17,19,25
36,2,3,5,7,8,11,12,14,16,17,18,19,21,22,23,24
37,1,2,4,5,6,8,9,10,11,13,15,17,18,21,22,23
38,1,3,4,7,8,10,12,13,14,15,16,17,18,19,22,24
39,1,3,4,5,6,9,10,11,12,13,14,17,18,21,24,25
40,1,2,4,6,7,9,10,11,12,13,14,16,17,19,23,24
41,1,2,3,5,6,7,9,12,13,17,18,19,20,21,23,24
42,1,3,4,5,6,7,11,13,14,15,16,19,20,21,22,25
43,1,2,3,4,5,8,11,14,16,17,18,19,20,21,24,25
44,1,2,3,4,7,9,12,14,15,18,19,20,21,22,24,25
45,2,3,4,6,7,9,11,13,14,15,18,19,20,22,23,25
46,1,3,4,7,8,11,12,14,15,17,19,20,21,22,24,25
47,1,3,4,5,6,8,10,11,12,13,14,16,17,18,23,24
48,1,3,4,8,9,10,11,13,14,16,18,19,21,22,24,25
49,2,3,5,8,9,10,12,13,17,18,19,20,21,22,24,25
50,2,3,5,6,7,9,11,12,13,14,15,16,17,21,22,23
51,2,3,4,6,7,8,10,11,12,13,15,16,17,18,21,23
52,2,5,7,8,9,11,12,13,14,16,17,18,19,20,21,25
53,1,2,3,4,5,6,7,9,10,11,12,15,19,22,24,25
54,1,2,3,4,9,10,11,12,18,19,20,21,22,23,24,25
55,1,2,3,4,5,6,9,11,12,14,15,16,18,19,22,23
56,2,3,5,7,9,11,12,14,15,16,18,19,20,21,22,24
57,1,3,4,5,6,7,8,9,11,13,14,15,16,17,20,21
58,1,3,4,5,7,8,9,10,14,15,19,20,21,22,24,25
59,1,3,5,6,8,9,13,14,15,18,19,21,22,23,24,25
60,1,3,4,5,8,11,12,14,15,16,18,19,20,21,22,24
61,1,2,3,4,5,7,9,12,13,15,16,18,19,20,21,22
62,2,3,5,6,8,9,10,11,13,14,18,20,21,22,23,24
63,1,2,5,6,7,9,10,13,14,16,17,19,20,22,24,25
64,1,2,4,7,8,10,11,13,14,15,16,17,18,19,21,23
65,2,3,4,5,6,9,11,13,14,15,17,19,21,22,23,24
66,1,2,3,4,6,8,9,10,11,12,15,16,21,22,24,25
67,2,3,4,5,6,7,12,15,18,19,20,21,22,23,24,25
68,1,3,4,5,6,7,10,11,13,14,15,18,19,22,23,24
69,1,4,5,6,8,10,11,12,15,16,17,21,22,23,24,25
70,2,4,5,6,8,10,11,13,14,17,19,20,21,23,24,25
71,1,2,3,5,7,8,11,12,13,16,17,19,20,21,22,25
72,2,3,4,5,6,11,13,15,16,18,20,21,22,23,24,25
73,1,2,6,7,8,9,10,12,14,15,17,20,22,23,24,25
74,1,2,3,7,8,11,12,15,16,17,19,21,22,23,24,25
75,1,2,3,6,10,11,13,14,15,18,19,20,22,23,24,25
76,1,3,5,8,10,11,13,15,16,17,18,20,21,22,24,25
77,2,4,5,6,8,10,11,12,13,14,15,16,19,21,22,25
78,1,2,3,4,6,9,10,12,14,15,16,17,18,19,21,24
79,1,2,4,10,11,13,14,15,16,17,18,20,21,22,24,25
80,4,5,6,7,8,9,10,11,12,14,16,17,18,20,21,23
81,1,4,10,11,12,14,15,16,17,18,19,20,21,22,23,24
82,1,3,6,7,8,11,12,13,14,15,16,17,18,20,21,23
83,2,4,5,6,7,10,11,12,13,15,16,18,19,22,24,25
84,1,2,3,4,5,8,9,10,11,12,14,16,18,19,22,24
85,2,3,4,5,6,7,8,9,10,11,13,17,19,20,21,23
86,3,4,5,6,7,8,9,10,11,12,15,16,17,21,23,24
87,1,2,4,8,9,10,11,12,13,14,15,17,20,22,24,25
88,1,3,4,6,8,10,12,13,14,15,16,18,19,20,21,23
89,1,2,6,7,10,11,12,13,14,15,17,21,22,23,24,25
90,2,4,5,6,7,8,12,13,14,15,16,17,18,20,23,24
91,3,7,8,9,10,11,12,13,14,15,16,17,18,19,24,25
92,1,2,3,5,6,7,8,12,14,16,17,21,22,23,24,25
93,2,3,4,5,7,8,11,13,14,19,20,21,22,23,24,25
94,1,2,4,6,7,10,13,14,15,16,18,20,21,22,24,25
